Return: 0.01,Return: 0.02,Return: 0.03,Return: 0.04,Return: 0.05,Return: 0.06,Return: 0.07,Return: 0.08,return,volatility / stdev,original_asset_names
0.05988,0.05988,0.06672,0.09243,0.11814,0.14482,0.17326,0.089,0.05707564023809525,0.198167451881623,Stocks (DEV)
0.0542,0.0542,0.06294,0.09579,0.12864,0.16424,0.20484,0.23266,0.07040124514285717,0.22624817984949372,Stocks (EM)
0.54728,0.54728,0.52281,0.43086,0.33891,0.2233,0.06443,0.0,0.015558327973333338,0.07334644253757858,Bonds (GOV)
0.09954,0.09954,0.12207,0.20675,0.29143,0.37994,0.47547,0.67834,0.08629984152525257,0.1539246579849372,REIT
0.09901,0.09901,0.09816,0.09497,0.09178,0.0877,0.08201,0.0,0.044569396125000015,0.1921437009310601,Commodities
0.1401,0.1401,0.1273,0.0792,0.03109,0.0,0.0,0.0,-0.01007827504878049,0.15400298761545744,Gold
0.05565850058868635,0.05565850058868635,0.0558506932874784,0.059858909242734806,0.0682076364164093,0.07960436009263211,0.09355783897402763,0.1134125375833343,0.0,0.0,0
